Sample	Pseudoaligned	Not aligned
CRR240976_f1	21852626.0	4697424.0
CRR240977_f1	21935683.0	5547927.0
CRR240978_f1	18037896.0	4117066.0
CRR240979_f1	16837560.0	4853778.0
CRR240980_f1	18623668.0	3492101.0
CRR240981_f1	19746278.0	2941798.0
CRR240982_f1	20103136.0	2866459.0
CRR240983_f1	19962731.0	3261879.0
CRR240984_f1	21349251.0	3273040.0
CRR240985_f1	23202999.0	4646876.0
CRR240986_f1	24968628.0	4631462.0
CRR240987_f1	26364822.0	4341950.0
CRR240988_f1	17762562.0	4233037.0
CRR240989_f1	15427155.0	4739806.0
CRR240990_f1	21796740.0	3156616.0
CRR240991_f1	19542099.0	4141567.0
CRR240992_f1	22819488.0	4848574.0
CRR240993_f1	22153292.0	3230017.0
