Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CRR240976_f1	286.78	82.30728755689725	21852626.0	1.21	78.48246089221904	56.0	112.85446085726801	18.181818181818183	24754289.0
CRR240976_r2					76.44204219207117	58.0	112.81073247549142	18.181818181818183	24754289.0
CRR240977_f1	282.523	79.81368895861934	21935683.0	1.2	79.1631821730632	56.0	112.86026981443798	18.181818181818183	25602707.0
CRR240977_r2					77.42862026509805	58.0	112.8086316419588	18.181818181818183	25602707.0
CRR240978_f1	292.757	81.41695751949382	18037896.0	1.21	77.92130679000368	57.0	112.86171086139619	18.181818181818183	20621916.0
CRR240978_r2					76.19969982489934	59.0	112.80393625888108	18.181818181818183	20621916.0
CRR240979_f1	292.815	77.62342737916859	16837560.0	1.19	74.47161321943403	54.0	112.85414971892239	18.181818181818183	20249745.0
CRR240979_r2					71.54577971984537	57.0	112.82185622584383	18.181818181818183	20249745.0
CRR240980_f1	282.819	84.20990470645629	18623668.0	1.16	75.37486520372181	57.0	112.86690645528098	18.181818181818183	20618994.0
CRR240980_r2					72.78893189095228	59.0	112.80479595658255	18.181818181818183	20618994.0
CRR240981_f1	286.404	87.03372643850452	19746278.0	1.88	75.15697044668488	57.0	112.78902356751271	18.181818181818183	20591736.0
CRR240981_r2					73.16195011156582	59.0	112.74936663912163	18.181818181818183	20591736.0
CRR240982_f1	291.973	87.52063760810759	20103136.0	1.91	79.5533888165163	57.0	112.80337599160845	18.181818181818183	20794246.0
CRR240982_r2					78.06636436068784	59.0	112.73976329798157	18.181818181818183	20794246.0
CRR240983_f1	297.627	85.95507524130653	19962731.0	1.26	82.68654431906704	58.0	112.8579145996888	18.181818181818183	21519945.0
CRR240983_r2					81.60014027381908	60.0	112.78584527051532	18.181818181818183	21519945.0
CRR240984_f1	299.783	86.70700464063235	21349251.0	1.33	77.45568768155104	57.0	112.83406951949034	18.181818181818183	22723872.0
CRR240984_r2					75.51429746234456	59.0	112.77486226819092	18.181818181818183	22723872.0
CRR240985_f1	284.778	83.31455347645186	23202999.0	1.88	75.2806876201067	54.0	112.80226085871574	18.181818181818183	25262702.0
CRR240985_r2					72.58798181335021	57.0	112.75393404078471	18.181818181818183	25262702.0
CRR240986_f1	290.813	84.35321649359851	24968628.0	1.42	73.29030888998759	55.0	112.85800652412527	18.181818181818183	27268943.0
CRR240986_r2					70.18788361663078	57.0	112.75197377470774	18.181818181818183	27268943.0
CRR240987_f1	293.202	85.85995949036909	26364822.0	1.41	76.47209055284716	55.0	112.8567884122944	18.181818181818183	28312283.0
CRR240987_r2					73.5566230090835	58.0	112.75509820243037	18.181818181818183	28312283.0
CRR240988_f1	297.636	80.75507286707673	17762562.0	1.61	77.86455699645605	55.0	112.84562844742979	18.181818181818183	20026695.0
CRR240988_r2					75.14715231747408	58.0	112.72353680924387	18.181818181818183	20026695.0
CRR240989_f1	292.531	76.49717277680062	15427155.0	1.31	78.86149286240015	56.0	112.84809552731656	9.090909090909092	18679055.0
CRR240989_r2					76.85257296388801	58.0	112.797919487897	18.181818181818183	18679055.0
CRR240990_f1	285.435	87.34993401288388	21796740.0	1.19	78.35861592187032	56.0	112.86024200888444	18.181818181818183	23274848.0
CRR240990_r2					76.52567041355609	58.0	112.81154433317889	18.181818181818183	23274848.0
CRR240991_f1	299.164	82.51298173179778	19542099.0	1.25	80.46056670332436	57.0	112.86337723653862	18.181818181818183	22007277.0
CRR240991_r2					78.98846434503676	60.0	112.79669470239321	18.181818181818183	22007277.0
CRR240992_f1	286.663	82.47591753986961	22819488.0	1.23	80.62341917533293	56.0	112.84744431792606	18.181818181818183	25779302.0
CRR240992_r2					78.88278312082883	58.0	112.81709943116381	18.181818181818183	25779302.0
CRR240993_f1	295.552	87.27503573312684	22153292.0	1.21	76.22558239518915	55.0	112.85653736075949	18.181818181818183	23651433.0
CRR240993_r2					74.27368229721678	58.0	112.81050395551085	18.181818181818183	23651433.0
