Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
CRR240976_f1	26550050.0	24754289.0	93.24	977079.0	3.68	497986.0	1.88	320696.0	1.21
CRR240977_f1	27483610.0	25602707.0	93.16	1058951.0	3.85	491718.0	1.79	330234.0	1.2
CRR240978_f1	22154962.0	20621916.0	93.08	876991.0	3.96	388240.0	1.75	267815.0	1.21
CRR240979_f1	21691338.0	20249745.0	93.35	769182.0	3.55	414414.0	1.91	257997.0	1.19
CRR240980_f1	22115769.0	20618994.0	93.23	882873.0	3.99	357883.0	1.62	256019.0	1.16
CRR240981_f1	22688076.0	20591736.0	90.76	1001661.0	4.41	669207.0	2.95	425472.0	1.88
CRR240982_f1	22969595.0	20794246.0	90.53	1111508.0	4.84	625159.0	2.72	438682.0	1.91
CRR240983_f1	23224610.0	21519945.0	92.66	1013536.0	4.36	398770.0	1.72	292359.0	1.26
CRR240984_f1	24622291.0	22723872.0	92.29	1136512.0	4.62	433342.0	1.76	328565.0	1.33
CRR240985_f1	27849875.0	25262702.0	90.71	1287419.0	4.62	776722.0	2.79	523032.0	1.88
CRR240986_f1	29600090.0	27268943.0	92.12	1351501.0	4.57	560318.0	1.89	419328.0	1.42
CRR240987_f1	30706772.0	28312283.0	92.2	1368078.0	4.46	592430.0	1.93	433981.0	1.41
CRR240988_f1	21995599.0	20026695.0	91.05	1158320.0	5.27	456651.0	2.08	353933.0	1.61
CRR240989_f1	20166961.0	18679055.0	92.62	829422.0	4.11	394772.0	1.96	263712.0	1.31
CRR240990_f1	24953356.0	23274848.0	93.27	937000.0	3.76	445002.0	1.78	296506.0	1.19
CRR240991_f1	23683666.0	22007277.0	92.92	982747.0	4.15	398602.0	1.68	295040.0	1.25
CRR240992_f1	27668062.0	25779302.0	93.17	995440.0	3.6	552358.0	2.0	340962.0	1.23
CRR240993_f1	25383309.0	23651433.0	93.18	953638.0	3.76	470171.0	1.85	308067.0	1.21
