Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CRR240976_f1	0.11635963367802647	0.1051009786627279
CRR240976_r2	0.3034181268547038	0.3793282044982186
CRR240977_f1	0.19814311041406676	0.8080004977598656
CRR240977_r2	0.4663374072124483	1.058509164675438
CRR240978_f1	0.11442680689805933	0.10657108679911216
CRR240978_r2	0.27020767614415653	0.4691125693655235
CRR240979_f1	0.23524740681919698	0.8320252921703459
CRR240979_r2	0.560046558610985	1.2000842479744809
CRR240980_f1	0.23034586459455783	0.4640624077003951
CRR240980_r2	0.4248655390267828	0.6111597879120583
CRR240981_f1	0.0	0.0
CRR240981_r2	0.0	0.0
CRR240982_f1	0.16178994900800922	0.563386621472113
CRR240982_r2	0.20484993781452812	0.8284407138397807
CRR240983_f1	0.11931721944456641	0.43569349271106406
CRR240983_r2	0.17352739516759919	0.7195278612468572
CRR240984_f1	0.18818975921005013	0.6222883142450372
CRR240984_r2	0.21969847392204989	1.1036279380556273
CRR240985_f1	0.13336261497285604	0.2503295174047495
CRR240985_r2	0.3685789429808419	0.24961304614209517
CRR240986_f1	0.0	0.0
CRR240986_r2	0.23581772128094589	0.0
CRR240987_f1	0.0	0.0
CRR240987_r2	0.2224087686605845	0.0
CRR240988_f1	0.17750307776695057	0.6068350269477814
CRR240988_r2	0.31183377986232874	0.7210226150645425
CRR240989_f1	0.2265906920880098	0.2203002239674331
CRR240989_r2	0.41121459302946534	1.329874557358496
CRR240990_f1	0.0	0.0
CRR240990_r2	0.3065540965079557	0.24047847702378117
CRR240991_f1	0.18357564182065778	0.11806094865802796
CRR240991_r2	0.2714738402211232	0.658414032776522
CRR240992_f1	0.21518037998080786	0.35551389250182175
CRR240992_r2	0.3722482478385179	1.0448847684083922
CRR240993_f1	0.11067828321438282	0.0
CRR240993_r2	0.3209826651941132	0.256174752709487
