Sample	Unique Reads	Duplicate Reads
CRR240976_f1	5326514.0	19427775.0
CRR240976_r2	5831605.0	18922684.0
CRR240977_f1	5334790.0	20267917.0
CRR240977_r2	5778885.0	19823822.0
CRR240978_f1	4553050.0	16068866.0
CRR240978_r2	4908078.0	15713838.0
CRR240979_f1	5169434.0	15080311.0
CRR240979_r2	5761908.0	14487837.0
CRR240980_f1	5077456.0	15541538.0
CRR240980_r2	5610649.0	15008345.0
CRR240981_f1	5115612.0	15476124.0
CRR240981_r2	5526421.0	15065315.0
CRR240982_f1	4251719.0	16542527.0
CRR240982_r2	4560935.0	16233311.0
CRR240983_f1	3725847.0	17794098.0
CRR240983_r2	3959640.0	17560305.0
CRR240984_f1	5122941.0	17600931.0
CRR240984_r2	5564100.0	17159772.0
CRR240985_f1	6244767.0	19017935.0
CRR240985_r2	6925017.0	18337685.0
CRR240986_f1	7283451.0	19985492.0
CRR240986_r2	8129450.0	19139493.0
CRR240987_f1	6661289.0	21650994.0
CRR240987_r2	7486724.0	20825559.0
CRR240988_f1	4432998.0	15593697.0
CRR240988_r2	4977205.0	15049490.0
CRR240989_f1	3948474.0	14730581.0
CRR240989_r2	4323721.0	14355334.0
CRR240990_f1	5037000.0	18237848.0
CRR240990_r2	5463615.0	17811233.0
CRR240991_f1	4300098.0	17707179.0
CRR240991_r2	4624067.0	17383210.0
CRR240992_f1	4995148.0	20784154.0
CRR240992_r2	5443872.0	20335430.0
CRR240993_f1	5622991.0	18028442.0
CRR240993_r2	6084643.0	17566790.0
