Sample	Pseudoaligned	Not aligned
CRR240976_f1	20386495.0	4367794.0
CRR240977_f1	20424061.0	5178646.0
CRR240978_f1	16793222.0	3828694.0
CRR240979_f1	15721652.0	4528093.0
CRR240980_f1	17393099.0	3225895.0
CRR240981_f1	17973096.0	2618640.0
CRR240982_f1	18194472.0	2599774.0
CRR240983_f1	18496969.0	3022976.0
CRR240984_f1	19669745.0	3054127.0
CRR240985_f1	21081068.0	4181634.0
CRR240986_f1	23039476.0	4229467.0
CRR240987_f1	24359929.0	3952354.0
CRR240988_f1	16229063.0	3797632.0
CRR240989_f1	14312741.0	4366314.0
CRR240990_f1	20381357.0	2893491.0
CRR240991_f1	18194439.0	3812838.0
CRR240992_f1	21315916.0	4463386.0
CRR240993_f1	20701501.0	2949932.0
