Sample	Surviving Reads	Forward Only Surviving	Reverse Only Surviving	Dropped
CRR240976_f1	24754289.0	977079.0	497986.0	320696.0
CRR240977_f1	25602707.0	1058951.0	491718.0	330234.0
CRR240978_f1	20621916.0	876991.0	388240.0	267815.0
CRR240979_f1	20249745.0	769182.0	414414.0	257997.0
CRR240980_f1	20618994.0	882873.0	357883.0	256019.0
CRR240981_f1	20591736.0	1001661.0	669207.0	425472.0
CRR240982_f1	20794246.0	1111508.0	625159.0	438682.0
CRR240983_f1	21519945.0	1013536.0	398770.0	292359.0
CRR240984_f1	22723872.0	1136512.0	433342.0	328565.0
CRR240985_f1	25262702.0	1287419.0	776722.0	523032.0
CRR240986_f1	27268943.0	1351501.0	560318.0	419328.0
CRR240987_f1	28312283.0	1368078.0	592430.0	433981.0
CRR240988_f1	20026695.0	1158320.0	456651.0	353933.0
CRR240989_f1	18679055.0	829422.0	394772.0	263712.0
CRR240990_f1	23274848.0	937000.0	445002.0	296506.0
CRR240991_f1	22007277.0	982747.0	398602.0	295040.0
CRR240992_f1	25779302.0	995440.0	552358.0	340962.0
CRR240993_f1	23651433.0	953638.0	470171.0	308067.0
