Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CRR240976_f1	CRR240976_f1.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24754289.0	2.7 Gbp	0.0	100-113	56.0	21.517539107780966	112.85446085726801	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240976_r2	CRR240976_r2.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24754289.0	2.7 Gbp	0.0	100-113	58.0	23.55795780792883	112.81073247549142	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240977_f1	CRR240977_f1.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25602707.0	2.8 Gbp	0.0	100-113	56.0	20.836817826936795	112.86026981443798	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240977_r2	CRR240977_r2.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25602707.0	2.8 Gbp	0.0	100-113	58.0	22.571379734901953	112.8086316419588	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240978_f1	CRR240978_f1.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20621916.0	2.3 Gbp	0.0	100-113	57.0	22.078693209996317	112.86171086139619	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240978_r2	CRR240978_r2.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20621916.0	2.3 Gbp	0.0	100-113	59.0	23.800300175100656	112.80393625888108	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240979_f1	CRR240979_f1.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20249745.0	2.2 Gbp	0.0	100-113	54.0	25.52838678056596	112.85414971892239	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240979_r2	CRR240979_r2.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20249745.0	2.2 Gbp	0.0	100-113	57.0	28.45422028015463	112.82185622584383	113	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
CRR240980_f1	CRR240980_f1.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20618994.0	2.3 Gbp	0.0	100-113	57.0	24.625134796278186	112.86690645528098	113	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
CRR240980_r2	CRR240980_r2.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20618994.0	2.3 Gbp	0.0	100-113	59.0	27.21106810904771	112.80479595658255	113	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
CRR240981_f1	CRR240981_f1.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20591736.0	2.3 Gbp	0.0	100-113	57.0	24.843029553315123	112.78902356751271	113	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
CRR240981_r2	CRR240981_r2.trim.p.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20591736.0	2.3 Gbp	0.0	100-113	59.0	26.838049888434185	112.74936663912163	113	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
