Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CRR240976_f1	262.264	82.35540515827378	20386495.0	1.21	78.48246089221904	56.0	112.85446085726801	113	18.181818181818183	24754289.0
CRR240976_r2					76.44204219207117	58.0	112.81073247549142	113	18.181818181818183	24754289.0
CRR240977_f1	258.201	79.77305290413237	20424061.0	1.2	79.1631821730632	56.0	112.86026981443798	113	18.181818181818183	25602707.0
CRR240977_r2					77.42862026509805	58.0	112.8086316419588	113	18.181818181818183	25602707.0
CRR240978_f1	268.415	81.4338590070874	16793222.0	1.21	77.92130679000368	57.0	112.86171086139619	113	18.181818181818183	20621916.0
CRR240978_r2					76.19969982489934	59.0	112.80393625888108	113	18.181818181818183	20621916.0
CRR240979_f1	268.443	77.63876532766216	15721652.0	1.19	74.47161321943403	54.0	112.85414971892239	113	18.181818181818183	20249745.0
CRR240979_r2					71.54577971984537	57.0	112.82185622584383	113	18.181818181818183	20249745.0
CRR240980_f1	258.176	84.35474107029664	17393099.0	1.16	75.37486520372181	57.0	112.86690645528098	113	18.181818181818183	20618994.0
CRR240980_r2					72.78893189095228	59.0	112.80479595658255	113	18.181818181818183	20618994.0
CRR240981_f1	261.703	87.28305374544428	17973096.0	1.88	75.15697044668488	57.0	112.78902356751271	113	18.181818181818183	20591736.0
CRR240981_r2					73.16195011156582	59.0	112.74936663912163	113	18.181818181818183	20591736.0
CRR240982_f1	267.726	87.49762794957797	18194472.0	1.91	79.5533888165163	57.0	112.80337599160845	113	18.181818181818183	20794246.0
CRR240982_r2					78.06636436068784	59.0	112.73976329798157	113	18.181818181818183	20794246.0
CRR240983_f1	273.784	85.95267785303355	18496969.0	1.26	82.68654431906704	58.0	112.8579145996888	113	18.181818181818183	21519945.0
CRR240983_r2					81.60014027381908	60.0	112.78584527051532	113	18.181818181818183	21519945.0
CRR240984_f1	275.623	86.55983012050059	19669745.0	1.33	77.45568768155104	57.0	112.83406951949034	113	18.181818181818183	22723872.0
CRR240984_r2					75.51429746234456	59.0	112.77486226819092	113	18.181818181818183	22723872.0
CRR240985_f1	260.511	83.44740004453996	21081068.0	1.88	75.2806876201067	54.0	112.80226085871574	113	18.181818181818183	25262702.0
CRR240985_r2					72.58798181335021	57.0	112.75393404078471	113	18.181818181818183	25262702.0
CRR240986_f1	265.9	84.48980218998588	23039476.0	1.42	73.29030888998759	55.0	112.85800652412527	113	18.181818181818183	27268943.0
CRR240986_r2					70.18788361663078	57.0	112.75197377470774	113	18.181818181818183	27268943.0
CRR240987_f1	269.165	86.04014377787902	24359929.0	1.41	76.47209055284716	55.0	112.8567884122944	113	18.181818181818183	28312283.0
CRR240987_r2					73.5566230090835	58.0	112.75509820243037	113	18.181818181818183	28312283.0
CRR240988_f1	273.254	81.03715066315236	16229063.0	1.61	77.86455699645605	55.0	112.84562844742979	113	18.181818181818183	20026695.0
CRR240988_r2					75.14715231747408	58.0	112.72353680924387	113	18.181818181818183	20026695.0
CRR240989_f1	267.862	76.62454551367829	14312741.0	1.31	78.86149286240015	56.0	112.84809552731656	113	9.090909090909092	18679055.0
CRR240989_r2					76.85257296388801	58.0	112.797919487897	113	18.181818181818183	18679055.0
CRR240990_f1	261.39	87.56816371045689	20381357.0	1.19	78.35861592187032	56.0	112.86024200888444	113	18.181818181818183	23274848.0
CRR240990_r2					76.52567041355609	58.0	112.81154433317889	113	18.181818181818183	23274848.0
CRR240991_f1	274.769	82.67464893544076	18194439.0	1.25	80.46056670332436	57.0	112.86337723653862	113	18.181818181818183	22007277.0
CRR240991_r2					78.98846434503676	60.0	112.79669470239321	113	18.181818181818183	22007277.0
CRR240992_f1	262.394	82.68616427240738	21315916.0	1.23	80.62341917533293	56.0	112.84744431792606	113	18.181818181818183	25779302.0
CRR240992_r2					78.88278312082883	58.0	112.81709943116381	113	18.181818181818183	25779302.0
CRR240993_f1	271.468	87.52747032283413	20701501.0	1.21	76.22558239518915	55.0	112.85653736075949	113	18.181818181818183	23651433.0
CRR240993_r2					74.27368229721678	58.0	112.81050395551085	113	18.181818181818183	23651433.0
