Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
CRR240976_f1	26550050.0	21852626.0	4697424.0	82.30728755689725	286.78
CRR240977_f1	27483610.0	21935683.0	5547927.0	79.81368895861934	282.523
CRR240978_f1	22154962.0	18037896.0	4117066.0	81.41695751949382	292.757
CRR240979_f1	21691338.0	16837560.0	4853778.0	77.62342737916859	292.815
CRR240980_f1	22115769.0	18623668.0	3492101.0	84.20990470645629	282.819
CRR240981_f1	22688076.0	19746278.0	2941798.0	87.03372643850452	286.404
CRR240982_f1	22969595.0	20103136.0	2866459.0	87.52063760810759	291.973
CRR240983_f1	23224610.0	19962731.0	3261879.0	85.95507524130653	297.627
CRR240984_f1	24622291.0	21349251.0	3273040.0	86.70700464063235	299.783
CRR240985_f1	27849875.0	23202999.0	4646876.0	83.31455347645186	284.778
CRR240986_f1	29600090.0	24968628.0	4631462.0	84.35321649359851	290.813
CRR240987_f1	30706772.0	26364822.0	4341950.0	85.85995949036909	293.202
CRR240988_f1	21995599.0	17762562.0	4233037.0	80.75507286707673	297.636
CRR240989_f1	20166961.0	15427155.0	4739806.0	76.49717277680062	292.531
CRR240990_f1	24953356.0	21796740.0	3156616.0	87.34993401288388	285.435
CRR240991_f1	23683666.0	19542099.0	4141567.0	82.51298173179778	299.164
CRR240992_f1	27668062.0	22819488.0	4848574.0	82.47591753986961	286.663
CRR240993_f1	25383309.0	22153292.0	3230017.0	87.27503573312684	295.552
