target_id	length	eff_length	est_counts	tpm
ONIVA01G00010.1	1589	1327.74	0	0
ONIVA01G00010.2	1812	1550.74	0	0
ONIVA01G00020.1	3081	2819.74	22	0.231551
ONIVA01G00030.1	626	364.885	0	0
ONIVA01G00040.1	948	686.736	10	0.432158
ONIVA01G00050.1	907	645.749	7	0.321712
ONIVA01G00060.1	1960	1698.74	0	0
ONIVA01G00070.1	591	329.934	1	0.0899509
ONIVA01G00080.1	263	49.2057	30	18.0942
ONIVA01G00090.1	231	42.0734	126	88.8784
ONIVA01G00100.1	4874	4612.74	485.761	3.12534
ONIVA01G00100.2	5434	5172.74	0	0
ONIVA01G00100.3	5185	4923.74	0	0
ONIVA01G00100.4	5411	5149.74	5.23887	0.0301916
ONIVA01G00110.1	903	641.749	0	0
ONIVA01G00120.1	3069	2807.74	51	0.539072
ONIVA01G00130.1	1397	1135.74	277	7.23828
ONIVA01G00140.1	2949	2687.74	0	0
ONIVA01G00140.2	3039	2777.74	859	9.17772
ONIVA01G00150.1	1223	961.736	412	12.7138
ONIVA01G00160.1	1672	1410.74	72.4256	1.52363
ONIVA01G00160.2	1614	1352.74	115.574	2.5356
ONIVA01G00160.3	1510	1248.74	0	0
ONIVA01G00170.1	2197	1935.74	915	14.0284
ONIVA01G00180.1	5343	5081.74	302.459	1.76639
ONIVA01G00190.1	1116	854.736	0.0271508	0.000942721
ONIVA01G00190.2	660	398.855	105.151	7.82405
ONIVA01G00200.1	537	276.051	5	0.537542
ONIVA01G00210.1	2550	2288.74	157.36	2.04047
ONIVA01G00210.2	2499	2237.74	216.491	2.87121
ONIVA01G00210.3	2860	2598.74	25.1491	0.287205
ONIVA01G00220.1	7016	6754.74	1266.73	5.56557
ONIVA01G00220.2	8634	8372.74	229.666	0.814069
ONIVA01G00220.3	8622	8360.74	1791.57	6.35948
ONIVA01G00230.1	1668	1406.74	95.369	2.012
ONIVA01G00240.1	222	39.1691	0	0
ONIVA01G00250.1	1389	1127.74	3	0.078949
ONIVA01G00260.1	366	111.012	0	0
ONIVA01G00270.1	1087	825.736	8104	291.267
ONIVA01G00280.1	1541	1279.74	0	0
ONIVA01G00290.1	1479	1217.74	695.676	16.9546
ONIVA01G00310.1	1359	1097.74	207	5.59635
ONIVA01G00320.1	1183	921.736	67	2.15725
ONIVA01G00330.1	1626	1364.74	0	0
ONIVA01G00340.1	258	47.8475	0	0
ONIVA01G00350.1	522	261.116	29	3.29607
ONIVA01G00360.1	1140	878.736	887	29.957
ONIVA01G00370.1	621	359.885	654.364	53.962
ONIVA01G00380.1	384	126.953	11	2.57147
ONIVA01G00390.1	1445	1183.74	321.636	8.06385
ONIVA01G00400.1	957	695.736	0	0
ONIVA01G00410.1	945	683.736	106	4.60098
ONIVA01G00420.1	651	389.87	326	24.8159
ONIVA01G00430.1	843	581.761	566	28.8738
ONIVA01G00440.1	9089	8827.74	229.022	0.769946
ONIVA01G00440.10	8804	8542.74	0	0
ONIVA01G00440.11	8795	8533.74	0	0
ONIVA01G00440.12	8738	8476.74	0	0
ONIVA01G00440.13	8798	8536.74	0	0
ONIVA01G00440.14	8681	8419.74	0	0
ONIVA01G00440.2	9047	8785.74	0	0
ONIVA01G00440.3	8972	8710.74	0	0
ONIVA01G00440.4	8963	8701.74	247.978	0.845746
ONIVA01G00440.5	8966	8704.74	0	0
ONIVA01G00440.6	8930	8668.74	0	0
ONIVA01G00440.7	8921	8659.74	0	0
ONIVA01G00440.8	8840	8578.74	0	0
ONIVA01G00440.9	8807	8545.74	0	0
ONIVA01G00450.1	6043	5781.74	1111.28	5.70422
ONIVA01G00460.1	1667	1405.74	3204.72	67.6581
ONIVA01G00470.1	1344	1082.74	605	16.5831
ONIVA01G00480.1	260	48.3485	0	0
ONIVA01G00490.1	576	314.953	0	0
ONIVA01G00500.1	1137	875.736	108	3.66002
ONIVA01G00510.1	993	731.736	625	25.3489
ONIVA01G00520.1	2120	1858.74	59	0.942035
ONIVA01G00530.1	1878	1616.74	586	10.757
ONIVA01G00540.1	6347	6085.74	1051.85	5.1295
ONIVA01G00540.2	6368	6106.74	19.1454	0.093044
ONIVA01G00540.3	5759	5497.74	0	0
ONIVA01G00540.4	3231	2969.74	0	0
ONIVA01G00550.1	1854	1592.74	7	0.130433
ONIVA01G00560.1	1958	1696.74	2472.2	43.2416
ONIVA01G00570.1	1008	746.736	542.51	21.5612
ONIVA01G00580.1	1139	877.736	24.0259	0.81236
ONIVA01G00580.2	2383	2121.74	81.9741	1.14662
ONIVA01G00590.1	795	533.794	160.667	8.93278
ONIVA01G00600.1	669	407.847	196.626	14.3079
ONIVA01G00610.1	2522	2260.74	698	9.16301
ONIVA01G00620.1	534	273.068	0	0
ONIVA01G00630.1	720	458.813	0.0854899	0.00552982
ONIVA01G00630.2	738	476.813	48.9145	3.04454
ONIVA01G00630.3	2679	2417.74	42	0.515553
ONIVA01G00640.1	4569	4307.74	0	0
ONIVA01G00640.2	4515	4253.74	0	0
ONIVA01G00640.3	4593	4331.74	2407	16.491
ONIVA01G00640.4	4539	4277.74	0	0
ONIVA01G00650.1	414	155.156	68	13.0069
ONIVA01G00660.1	642	380.87	0	0
ONIVA01G00670.1	4267	4005.74	548	4.06005
ONIVA01G00670.2	713	451.813	0	0
ONIVA01G00680.1	744	482.804	0	0
ONIVA01G00690.1	2217	1955.74	315.269	4.78414
ONIVA01G00690.2	1485	1223.74	391.731	9.50021
ONIVA01G00700.1	2127	1865.74	0	0
ONIVA01G00700.2	2088	1826.74	237	3.85039
ONIVA01G00710.1	3012	2750.74	0	0
ONIVA01G00710.2	3108	2846.74	65	0.67764
ONIVA01G00720.1	1353	1091.74	0	0
ONIVA01G00730.1	483	222.476	21	2.80136
ONIVA01G00740.1	885	623.749	289	13.7506
ONIVA01G00750.1	2688	2426.74	847	10.3584
ONIVA01G00760.1	2081	1819.74	112	1.8266
ONIVA01G00770.1	336	88.171	20	6.73189
ONIVA01G00780.1	873	611.749	0	0
ONIVA01G00790.1	1035	773.736	1	0.0383566
ONIVA01G00800.1	531	270.09	20	2.19763
ONIVA01G00810.1	192	27.6805	1	1.07216
ONIVA01G00820.1	420	160.91	65.1531	12.0167
ONIVA01G00830.1	348	96.6975	0.846875	0.259918
ONIVA01G00840.1	522	261.116	164	18.6399
ONIVA01G00850.1	606	344.914	0	0
ONIVA01G00860.1	1197	935.736	39	1.23693
ONIVA01G00860.2	1233	971.736	0	0
ONIVA01G00870.1	1020	758.736	323.754	12.6636
ONIVA01G00880.1	855	593.749	30	1.49952
ONIVA01G00890.1	1107	845.736	751	26.3535
ONIVA01G00900.1	393	135.273	2	0.438786
ONIVA01G00910.1	231	42.0734	1	0.705384
ONIVA01G00920.1	2394	2132.74	1	0.0139154
ONIVA01G00930.1	327	82.1276	5	1.80681
ONIVA01G00940.1	566	304.972	4	0.389254
ONIVA01G00950.1	1854	1592.74	134	2.49686
ONIVA01G00960.1	2308	2046.74	48	0.696005
ONIVA01G00970.1	216	36.9851	0	0
ONIVA01G00980.1	6832	6570.74	462.95	2.09099
ONIVA01G00980.2	5583	5321.74	45.0498	0.251231
ONIVA01G00990.1	2223	1961.74	0	0
ONIVA01G00990.2	1995	1733.74	2	0.0342357
ONIVA01G01000.1	1803	1541.74	5	0.0962482
ONIVA01G01010.1	342	92.34	8	2.57118
ONIVA01G01020.1	357	103.632	56	16.0371
ONIVA01G01030.1	1878	1616.74	89.9896	1.65191
ONIVA01G01040.1	1710	1448.74	6.31112	0.129286
ONIVA01G01040.2	1995	1733.74	38.0757	0.651775
ONIVA01G01040.3	1986	1724.74	52.6235	0.905503
ONIVA01G01050.1	684	422.813	0	0
ONIVA01G01050.2	645	383.87	4	0.309249
ONIVA01G01060.1	765	503.794	0	0
ONIVA01G01070.1	1422	1160.74	6	0.153409
ONIVA01G01080.1	3048	2786.74	98	1.04367
ONIVA01G01090.1	4207	3945.74	75.1663	0.565364
ONIVA01G01100.1	1140	878.736	362	12.226
ONIVA01G01110.1	531	270.09	155	17.0316
ONIVA01G01120.1	2991	2729.74	92.905	1.01007
ONIVA01G01130.1	1881	1619.74	82	1.50246
ONIVA01G01140.1	2115	1853.74	16.2327	0.259882
ONIVA01G01150.1	660	398.855	0	0
ONIVA01G01160.1	1971	1709.74	91	1.57959
ONIVA01G01170.1	348	96.6975	28	8.5936
ONIVA01G01180.1	393	135.273	13	2.85211
ONIVA01G01190.1	798	536.794	94	5.197
ONIVA01G01200.1	1959	1697.74	176.767	3.09004
ONIVA01G01210.1	927	665.749	0	0
ONIVA01G01210.2	1185	923.736	106.845	3.43273
ONIVA01G01210.3	258	47.8475	18.1913	11.2833
ONIVA01G01210.4	207	33.3072	0	0
ONIVA01G01210.5	921	659.749	107.689	4.84425
ONIVA01G01210.6	192	27.6805	1.27438	1.36634
ONIVA01G01220.1	603	341.921	623	54.0749
ONIVA01G01230.1	429	169.641	26.3433	4.60863
ONIVA01G01230.2	198	29.9314	22.4275	22.2375
ONIVA01G01240.1	930	668.749	94.5164	4.19447
ONIVA01G01250.1	393	135.273	1	0.219393
ONIVA01G01260.1	5793	5531.74	18.6414	0.100012
ONIVA01G01260.2	5520	5258.74	0	0
ONIVA01G01260.3	5757	5495.74	41.7033	0.225204
ONIVA01G01270.1	1965	1703.74	16.3959	0.285605
ONIVA01G01280.1	1903	1641.74	7	0.12654
ONIVA01G01290.1	3972	3710.74	234.896	1.87866
ONIVA01G01300.1	2937	2675.74	0	0
ONIVA01G01300.2	2679	2417.74	0	0
ONIVA01G01300.3	1471	1209.74	0	0
ONIVA01G01300.4	1642	1380.74	0	0
ONIVA01G01310.1	849	587.749	1	0.0504941
ONIVA01G01320.1	765	503.794	3	0.176726
ONIVA01G01330.1	5091	4829.74	127.655	0.784419
ONIVA01G01330.2	4146	3884.74	0	0
ONIVA01G01330.3	4062	3800.74	0	0
ONIVA01G01330.4	3369	3107.74	0	0
ONIVA01G01340.1	5726	5464.74	0	0
ONIVA01G01340.2	5683	5421.74	0	0
ONIVA01G01340.3	6268	6006.74	0	0
ONIVA01G01340.4	6211	5949.74	34.1889	0.170537
ONIVA01G01340.5	6442	6180.74	36.4224	0.174888
ONIVA01G01340.6	2440	2178.74	0	0
ONIVA01G01340.7	3428	3166.74	0	0
ONIVA01G01340.8	1667	1405.74	121.638	2.56803
ONIVA01G01350.1	3105	2843.74	109	1.13755
ONIVA01G01360.1	2569	2307.74	118.328	1.52172
ONIVA01G01360.2	2938	2676.74	27.5282	0.305215
ONIVA01G01360.3	2857	2595.74	118.536	1.35526
ONIVA01G01360.4	2424	2162.74	407.608	5.59335
ONIVA01G01370.1	1715	1453.74	324	6.61443
ONIVA01G01380.1	4971	4709.74	1438	9.06139
ONIVA01G01390.1	1441	1179.74	0.96726	0.0243328
ONIVA01G01390.2	2608	2346.74	6.03274	0.0762927
ONIVA01G01400.1	1841	1579.74	0	0
ONIVA01G01400.2	1775	1513.74	503	9.86167
ONIVA01G01410.1	5037	4775.74	1071	6.65552
ONIVA01G01420.1	2025	1763.74	37	0.622588
ONIVA01G01430.1	1230	968.736	0	0
ONIVA01G01440.1	1899	1637.74	1004	18.1938
ONIVA01G01450.1	2265	2003.74	0	0
ONIVA01G01460.1	291	61.1685	2	0.970364
ONIVA01G01470.1	755	493.794	0	0
ONIVA01G01480.1	384	126.953	1	0.23377
ONIVA01G01490.1	2865	2603.74	653	7.44302
ONIVA01G01490.2	2883	2621.74	0	0
ONIVA01G01500.1	795	533.794	257	14.2887
ONIVA01G01510.1	767	505.794	2378	139.531
ONIVA01G01520.1	1965	1703.74	0	0
ONIVA01G01520.2	4687	4425.74	738.588	4.95279
ONIVA01G01530.1	858	596.749	1239.41	61.6391
ONIVA01G01540.1	5703	5441.74	3117	16.9993
ONIVA01G01550.1	606	344.914	0	0
ONIVA01G01560.1	2905	2643.74	497	5.57919
ONIVA01G01570.1	817	555.772	69	3.68455
ONIVA01G01580.1	1623	1361.74	408	8.89201
ONIVA01G01590.1	477	216.542	27	3.70044
ONIVA01G01600.1	438	178.334	338	56.249
ONIVA01G01610.1	2049	1787.74	680	11.2886
ONIVA01G01620.1	1191	929.736	239	7.62906
ONIVA01G01630.1	3709	3447.74	34	0.29267
ONIVA01G01640.1	366	111.012	0	0
ONIVA01G01650.1	2368	2106.74	0	0
ONIVA01G01650.2	1020	758.736	129	5.04582
ONIVA01G01650.3	909	647.749	0	0
ONIVA01G01650.4	1432	1170.74	0	0
ONIVA01G01650.5	1456	1194.74	0	0
ONIVA01G01660.1	1682	1420.74	7	0.146224
ONIVA01G01670.1	1083	821.736	0	0
ONIVA01G01680.1	234	42.9103	0	0
ONIVA01G01690.1	351	98.9558	0	0
ONIVA01G01700.1	1608	1346.74	1	0.0220369
ONIVA01G01710.1	858	596.749	0	0
ONIVA01G01720.1	222	39.1691	15.7708	11.9493
ONIVA01G01730.1	804	542.783	0	0
ONIVA01G01740.1	441	181.283	0	0
ONIVA01G01750.1	486	225.436	0	0
ONIVA01G01760.1	570	308.96	0	0
ONIVA01G01770.1	564	302.972	380	37.2232
ONIVA01G01780.1	2604	2342.74	26	0.329369
ONIVA01G01790.1	2802	2540.74	0	0
ONIVA01G01800.1	1155	893.736	21	0.697337
ONIVA01G01810.1	534	273.068	56	6.08625
ONIVA01G01820.1	1194	932.736	0	0
ONIVA01G01820.2	2506	2244.74	0	0
ONIVA01G01830.1	906	644.749	0	0
ONIVA01G01840.1	321	78.3419	0	0
ONIVA01G01840.2	348	96.6975	0	0
ONIVA01G01840.3	252	46.3181	1	0.64074
ONIVA01G01840.4	363	108.501	0	0
ONIVA01G01840.5	312	72.8629	7.40794	3.01733
ONIVA01G01840.6	354	101.271	10.5921	3.10403
ONIVA01G01840.7	237	43.5501	1	0.681465
ONIVA01G01850.1	3145	2883.74	26	0.267578
ONIVA01G01860.1	948	686.736	117	5.05625
ONIVA01G01870.1	2991	2729.74	484	5.26208
ONIVA01G01880.1	4136	3874.74	45.3185	0.34711
ONIVA01G01880.2	4028	3766.74	59.7895	0.471077
ONIVA01G01880.3	3965	3703.74	674.892	5.40788
ONIVA01G01890.1	2671	2409.74	0	0
ONIVA01G01890.2	2169	1907.74	20	0.311132
ONIVA01G01900.1	2308	2046.74	5865.5	85.0502
ONIVA01G01900.2	2627	2365.74	2405.5	30.1768
ONIVA01G01910.1	3008	2746.74	679.782	7.3449
ONIVA01G01910.2	2452	2190.74	103.218	1.39829
ONIVA01G01920.1	1921	1659.74	4	0.0715243
ONIVA01G01930.1	2411	2149.74	54	0.745489
ONIVA01G01930.2	2459	2197.74	0	0
ONIVA01G01930.3	4001	3739.74	5.63828e-06	4.47444e-08
ONIVA01G01930.4	3798	3536.74	3.99999	0.0335652
ONIVA01G01940.1	1449	1187.74	360	8.99529
ONIVA01G01950.1	3529	3267.74	11.5	0.104444
ONIVA01G01950.2	3529	3267.74	11.5	0.104444
ONIVA01G01960.1	525	264.106	0	0
ONIVA01G01970.1	2012	1750.74	1187	20.1216
ONIVA01G01980.1	3631	3369.74	2.36556	0.0208339
ONIVA01G01980.2	2995	2733.74	0	0
ONIVA01G01980.3	1375	1113.74	5.63444	0.150142
ONIVA01G01990.1	1053	791.736	8	0.299876
ONIVA01G02000.1	939	677.736	9	0.394108
ONIVA01G02010.1	6829	6567.74	925.377	4.18153
ONIVA01G02020.1	747	485.804	154	9.40789
ONIVA01G02030.1	1782	1520.74	0	0
ONIVA01G02030.2	1761	1499.74	847.623	16.7734
ONIVA01G02040.1	528	267.09	0	0
ONIVA01G02050.1	750	488.794	0	0
ONIVA01G02060.1	4729	4467.74	0	0
ONIVA01G02060.2	4843	4581.74	3296.48	21.3527
ONIVA01G02060.3	4856	4594.74	122.174	0.789131
ONIVA01G02060.4	321	78.3419	7.34412	2.78213
ONIVA01G02070.1	444	184.214	5	0.805529
ONIVA01G02080.1	815	553.772	0	0
ONIVA01G02090.1	642	380.87	37	2.88308
ONIVA01G02100.1	1659	1397.74	0	0
ONIVA01G02100.2	1887	1625.74	129	2.3549
ONIVA01G02110.1	924	662.749	0	0
ONIVA01G02120.1	1332	1070.74	1305	36.171
ONIVA01G02130.1	327	82.1276	0	0
ONIVA01G02140.1	396	138.095	360	77.3674
ONIVA01G02150.1	3481	3219.74	609	5.61345
ONIVA01G02160.1	360	106.041	0	0
ONIVA01G02170.1	318	76.4824	0	0
ONIVA01G02180.1	525	264.106	49	5.50619
ONIVA01G02190.1	528	267.09	0	0
ONIVA01G02200.1	528	267.09	5472	608.025
ONIVA01G02210.1	2271	2009.74	5913	87.3176
ONIVA01G02230.1	630	368.885	3	0.241358
ONIVA01G02240.1	3453	3191.74	8	0.0743868
ONIVA01G02250.1	345	94.4795	0	0
ONIVA01G02260.1	438	178.334	0	0
